episode,restaurant,city,address,lat,lon,precision,score,tags,video_id,url,transcript_path
52,Tacos El Comelon,Broomfield,"1050 E 10th Ave, Broomfield, CO 80020",39.93154,-105.054284,restaurant,4.3,"pork,smooth",09IwuRMAi_U,https://youtube.com/shorts/09IwuRMAi_U,transcripts/030_Green_Chile_Reviews_Ep_52_-_Tacos_El_Comelon_09IwuRMAi_U.txt
51,El Lucerito Jr,Aurora,"El Lucerito Jr., North Walden Circle, Aurora, Adams County, Colorado, 80249, United States",39.7680125,-104.7729129,restaurant,2.7,"pork,gravy-style",fME1xuNmnqg,https://youtube.com/shorts/fME1xuNmnqg,transcripts/031_Green_Chile_Reviews_Ep_51_-_El_Lucerito_Jr_fME1xuNmnqg.txt
50,Loco Hermanos,Louisville,"Loco Hermanos Burritos, 318, South McCaslin Boulevard, Louisville, Boulder County, Colorado, 80027, United States",39.9656354,-105.1620943,restaurant,4.2,"vegetarian,gluten-free",QsR0A9vyeHE,https://youtube.com/shorts/QsR0A9vyeHE,transcripts/032_Green_Chile_Reviews_Ep_50_-_Loco_Hermanos_QsR0A9vyeHE.txt
49,Goodfellas Diner,Longmont,"Goodfella's, 623, Ken Pratt Boulevard, Longmont, CO",40.1520635,-105.1038886,restaurant,3.7,gravy-style,PzBnUyTkqNU,https://youtube.com/shorts/PzBnUyTkqNU,transcripts/033_Green_Chile_Reviews_Ep_49_-_Goodfellas_Diner_PzBnUyTkqNU.txt
48,La Casa Del Burrito,Broomfield,"La Casa Del Burrito, 1384, US 287, Broomfield, Colorado, 80020, United States",39.9164607,-105.0855845,restaurant,4.4,"pork,smooth",SjlQFzee9GY,https://youtube.com/shorts/SjlQFzee9GY,transcripts/035_Episode_48_-_La_Casa_Del_Burrito_SjlQFzee9GY.txt
47,Senor Ric's,Aurora,"13200 E Mississippi Ave, Aurora, CO 80012",39.695973,-104.836128,restaurant,4.1,,FpyGLmCRvDs,https://youtube.com/shorts/FpyGLmCRvDs,transcripts/036_Episode_47_-_Senor_Rics_FpyGLmCRvDs.txt
46,El Senor Sol,Centennial,"El Señor Sol, South Zang Street, Jefferson County, Colorado, 80127, United States",39.6083752,-105.1465098,restaurant,3.9,"vegetarian,smooth",m9i3kFCSQLY,https://youtube.com/shorts/m9i3kFCSQLY,transcripts/037_Episode_46_-_El_Senor_Sol_m9i3kFCSQLY.txt
45,Noonan's,Aurora,"Noonan's Tavern, 13521, East Iliff Avenue, Aurora, Arapahoe County, Colorado, 80014, United States",39.6758048,-104.8336192,restaurant,4.8,,PnWXlmB1ij8,https://youtube.com/shorts/PnWXlmB1ij8,transcripts/038_Episode_45_-_Noonans_PnWXlmB1ij8.txt
44,La Mariposa,Lyons,"La Mariposa, 112, Main Street, Lyons, Boulder County, Colorado, 80540, United States",40.2219459,-105.2640231,restaurant,3.3,"vegetarian,pork",h8qvwzhKFmE,https://youtube.com/shorts/h8qvwzhKFmE,transcripts/039_Episode_44_-_La_Mariposa_h8qvwzhKFmE.txt
43,El Cielo,Loveland,"El Cielo, 2225, West Eisenhower Boulevard, Loveland, Larimer County, Colorado, 80537, United States",40.4076928,-105.108409,restaurant,4.6,,8ZSR8xj_xyw,https://youtube.com/shorts/8ZSR8xj_xyw,transcripts/040_Episode_43_-_El_Cielo_8ZSR8xj_xyw.txt
42,El Chubby's,Aurora,"El Chubby's, 1191, South Abilene Street, Aurora, Arapahoe County, Colorado, 80012, United States",39.6954918,-104.827896,restaurant,2.5,,SPQel4AA2_s,https://youtube.com/shorts/SPQel4AA2_s,transcripts/041_Episode_42_-_El_Chubbys_SPQel4AA2_s.txt
41,Lucero's,Denver,"10339 N Federal Blvd, Denver, CO 80260",39.74349,-105.025229,restaurant,3.8,,RDcifruEVuc,https://youtube.com/shorts/RDcifruEVuc,transcripts/042_Episode_41_-_Luceros_RDcifruEVuc.txt
40,Las Delicias,Glendale,"Las Delicias, 4301, East Kentucky Avenue, Glendale, Arapahoe County, Colorado, 80246, United States",39.7005129,-104.9383547,restaurant,4.5,,4QeF0MRG1gs,https://youtube.com/shorts/4QeF0MRG1gs,transcripts/043_Episode_40_-_Las_Delicias_4QeF0MRG1gs.txt
39,Corona's Mexican Grill,Broomfield,"Corona's Mexican Grill, 2255, West 136th Avenue, Broomfield, Colorado, 80023, United States",39.9444577,-105.0124959,restaurant,3.8,,6h-c9Kg_uAA,https://youtube.com/shorts/6h-c9Kg_uAA,transcripts/044_Episode_39_-_Coronas_Mexican_Grill_6h-c9Kg_uAA.txt
38,The Cherry Cricket,Broomfield,"The Cherry Cricket, 1280, East 1st Avenue, Broomfield, Colorado, 80020, United States",39.9147515,-105.0549641,restaurant,2.9,"vegetarian,pork",X50UjvSTbf0,https://youtube.com/shorts/X50UjvSTbf0,transcripts/045_Episode_38_-_The_Cherry_Cricket_X50UjvSTbf0.txt
37,Los Arcos Express,Federal Heights,"Los Arcos Express, 1612, West 92nd Avenue, Federal Heights, Adams County, Colorado, 80260, United States",39.8631571,-105.0070198,restaurant,3.9,,n2XRZIiBdbw,https://youtube.com/shorts/n2XRZIiBdbw,transcripts/046_Episode_37_-_Los_Arcos_Express_n2XRZIiBdbw.txt
36,La Casita,Denver,"Tamales by La Casita, 3561, Tejon Street, Highland, Denver, Colorado, 80211, United States",39.7664811,-105.0115796,restaurant,4.9,super-hot,1oiyKOL71gI,https://youtube.com/shorts/1oiyKOL71gI,transcripts/047_Episode_36_-_La_Casita_1oiyKOL71gI.txt
35,Amanecer Food Truck,Lafayette,"1407 S 120th St, Lafayette, CO 80026",39.993529,-105.071886,restaurant,4.5,,5I_pNk8RVDE,https://youtube.com/shorts/5I_pNk8RVDE,transcripts/048_Episode_35_-_Amanecer_Food_Truck_5I_pNk8RVDE.txt
34,Wapos Cantina Boulder,Boulder,"4929 Broadway, Boulder, CO 80304",40.064231,-105.283174,restaurant,2.9,vegetarian,TaC3INJ0MTo,https://youtube.com/shorts/TaC3INJ0MTo,transcripts/049_Episode_34_-_Wapos_Cantina_Boulder_TaC3INJ0MTo.txt
